038223 EM30311|建设工程项目风险管理
038224 EM30314|工程项目管理
038227 EM30500|专业英语
038230 EM34002|生产实习
038235 EM40202|工程估价（2）
038240 EM40600|工程管理理论与实践前沿
038242 EM40602|科技文献检索与利用
038246 EM45202|工程估价（2）课程设计
000187 ENAD20011|高级英语语言技能
358212 ENED11801|工程基础
358213 ENED11811|工程建模 I
358214 ENED30801|科技团队效能建设
350000 ENED40801|工程概率与统计
000569 ENG10015|基础英语（1）
000499 ENG10101|英语中级听力（1）
048202 ENG10110|英语初级听力（1）
000500 ENG10201|英语语音
048203 ENG10210|英语交际口语
000501 ENG10301|英语阅读与思辨（1）
048007 ENG10410|英语思辨与写作（1）
049967 ENG10512|英语散文选读（1）
048208 ENG10910|新生研讨课
000548 ENG10911|英语语音实践
048209 ENG13270|英语口语实践（1）
048210 ENG20014|英语综合课（2）
048212 ENG20120|英语中级听力（1）
048214 ENG20240|英语公共演讲
048216 ENG20322|英语时文阅读（3）
048218 ENG20411|英语思辨与写作（2）
049969 ENG20515|英语散文选读（3）
048222 ENG20520|英语短篇小说阅读
048226 ENG20630|英语国家概况（1）
048228 ENG20640|西方艺术与审美
048232 ENG23272|英语口语实践（3）
048234 ENG30014|英语综合课（4）
048236 ENG30260|英语高级视听说（1）
048240 ENG30550|美国文学选读
048241 ENG30570|美国文学史
048244 ENG30670|西方思想经典
048247 ENG30710|翻译理论与实践（1）
048248 ENG30711|翻译理论与实践（2）
048249 ENG30740|交替传译（1）
048251 ENG30755|文学翻译
048256 ENG40014|英语综合课（6）
048257 ENG40420|英语学术论文写作
000463 ENG40430|英语创意写作
048258 ENG40511|英语诗歌选读
048259 ENG40512|文学批评与实践
048261 ENG40600|大众文化与传媒
048262 ENG40611|文化研究入门
048263 ENG40776|科技翻译
048264 ENG40780|商务翻译
048265 ENG40821|社会语言学
048266 ENG40962|英语教学法
118001 ENGR14000|金工实习（Ⅰ）
118002 ENGR14003|金工实习（Ⅱ）
118003 ENGR14006|金工实习（Ⅲ）
